,created_at,tweets
96,2019-12-13 15:25:13,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
97,2019-12-13 15:24:57,"⏰: 8:00 pm ET
📺: BTN
📻: https://t.co/9o8s3xQTix
📱: @HoosierStofMind

#iubb #Hoosiers https://t.co/N5bg2h1i6s"
98,2019-12-13 15:21:35,"RT @IUHoosiers: Enhance the atmosphere. 

Retweet to win one of five sets of tickets to #IUBB-Nebraska this Friday. https://t.co/Cu7OIoUlGw"
99,2019-12-13 15:16:16,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
100,2019-12-13 15:15:17,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
101,2019-12-13 15:14:33,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
102,2019-12-13 15:13:25,"RT @IndianaMBB: .@robphinisee1 made his return on Tuesday night and had an immediate impact for the Hoosiers.

https://t.co/r6qElGCk6K"
103,2019-12-13 15:12:50,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
104,2019-12-13 15:11:06,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
105,2019-12-13 15:10:56,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
106,2019-12-13 15:07:26,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
107,2019-12-13 14:59:20,RT @IUHoosiers: Friday + Sunday. 👇 https://t.co/IuuCLkJyJC
108,2019-12-13 14:58:26,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
109,2019-12-13 14:51:25,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
110,2019-12-13 14:47:26,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
111,2019-12-13 14:46:13,Friday + Sunday. 👇 https://t.co/IuuCLkJyJC
112,2019-12-13 14:43:09,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
113,2019-12-13 14:40:19,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
114,2019-12-13 14:38:26,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
115,2019-12-13 14:36:05,"RT @IUHoosiers: Enhance the atmosphere. 

Retweet to win one of five sets of tickets to #IUBB-Nebraska this Friday. https://t.co/Cu7OIoUlGw"
116,2019-12-13 14:34:13,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
117,2019-12-13 14:33:57,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
118,2019-12-13 14:28:47,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
119,2019-12-13 14:28:18,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
120,2019-12-13 14:27:59,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
121,2019-12-13 14:27:46,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
122,2019-12-13 14:27:36,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
123,2019-12-13 14:27:15,"⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
124,2019-12-13 14:22:40,"RT @IUHoosiers: Enhance the atmosphere. 

Retweet to win one of five sets of tickets to #IUBB-Nebraska this Friday. https://t.co/Cu7OIoUlGw"
125,2019-12-13 14:13:07,"RT @IUHoosiers: Enhance the atmosphere. 

Retweet to win one of five sets of tickets to #IUBB-Nebraska this Friday. https://t.co/Cu7OIoUlGw"
126,2019-12-13 14:12:51,"RT @IndianaFootball: Another honor for #IUFB's @Mullen_7era!

📝 https://t.co/pW3ZfH51Y4 https://t.co/rqGbc87z9D"
127,2019-12-13 14:12:08,"RT @IUHoosiers: Enhance the atmosphere. 

Retweet to win one of five sets of tickets to #IUBB-Nebraska this Friday. https://t.co/Cu7OIoUlGw"
128,2019-12-13 14:08:41,"RT @IUHoosiers: Enhance the atmosphere. 

Retweet to win one of five sets of tickets to #IUBB-Nebraska this Friday. https://t.co/Cu7OIoUlGw"
129,2019-12-13 14:01:00,"RT @IUHoosiers: Enhance the atmosphere. 

Retweet to win one of five sets of tickets to #IUBB-Nebraska this Friday. https://t.co/Cu7OIoUlGw"
130,2019-12-13 13:59:49,@IUHoosiers look at my profile pic I’m a huge fan of IU football and basketball and live in South Florida it would… https://t.co/0he63dUH5c
131,2019-12-13 13:46:06,"RT @IUHoosiers: Enhance the atmosphere. 

Retweet to win one of five sets of tickets to #IUBB-Nebraska this Friday. https://t.co/Cu7OIoUlGw"
132,2019-12-13 13:38:44,"RT @IUHoosiers: Enhance the atmosphere. 

Retweet to win one of five sets of tickets to #IUBB-Nebraska this Friday. https://t.co/Cu7OIoUlGw"
133,2019-12-13 13:10:30,"RT @IUHoosiers: Enhance the atmosphere. 

Retweet to win one of five sets of tickets to #IUBB-Nebraska this Friday. https://t.co/Cu7OIoUlGw"
134,2019-12-13 13:10:18,"RT @IUHoosiers: Enhance the atmosphere. 

Retweet to win one of five sets of tickets to #IUBB-Nebraska this Friday. https://t.co/Cu7OIoUlGw"
135,2019-12-13 13:00:03,"RT @IUHoosiers: Enhance the atmosphere. 

Retweet to win one of five sets of tickets to #IUBB-Nebraska this Friday. https://t.co/Cu7OIoUlGw"
136,2019-12-13 12:45:48,"RT @IUHoosiers: Enhance the atmosphere. 

Retweet to win one of five sets of tickets to #IUBB-Nebraska this Friday. https://t.co/Cu7OIoUlGw"
137,2019-12-13 12:43:15,@IUHoosiers Really great to hear about these amazing student-athletes.  Congratulations to each of them on their academic accomplishments!
138,2019-12-13 12:39:00,@IUHoosiers @IndianaMBB Any gator bowl giveaways?  Family trip at disney .. coincidences like this dont happen ofte… https://t.co/EOOzqqKFv0
139,2019-12-13 12:34:48,"RT @IUHoosiers: Enhance the atmosphere. 

Retweet to win one of five sets of tickets to #IUBB-Nebraska this Friday. https://t.co/Cu7OIoUlGw"
140,2019-12-13 12:22:58,"RT @IUHoosiers: Enhance the atmosphere. 

Retweet to win one of five sets of tickets to #IUBB-Nebraska this Friday. https://t.co/Cu7OIoUlGw"
141,2019-12-13 12:11:43,"RT @IUHoosiers: Enhance the atmosphere. 

Retweet to win one of five sets of tickets to #IUBB-Nebraska this Friday. https://t.co/Cu7OIoUlGw"
142,2019-12-13 12:07:52,"RT @IUHoosiers: Enhance the atmosphere. 

Retweet to win one of five sets of tickets to #IUBB-Nebraska this Friday. https://t.co/Cu7OIoUlGw"
143,2019-12-13 12:01:12,"RT @Teri_Tuesday: I would love to go,  I'm a Nebraska Grad, a, B-town resident but now a Hoosier fan. https://t.co/5yoPeTu8Es"
144,2019-12-13 11:42:00,"RT @IUHoosiers: Enhance the atmosphere. 

Retweet to win one of five sets of tickets to #IUBB-Nebraska this Friday. https://t.co/Cu7OIoUlGw"
145,2019-12-13 11:28:05,"RT @IUHoosiers: Enhance the atmosphere. 

Retweet to win one of five sets of tickets to #IUBB-Nebraska this Friday. https://t.co/Cu7OIoUlGw"
146,2019-12-13 11:27:31,"RT @IndianaMBB: .@robphinisee1 made his return on Tuesday night and had an immediate impact for the Hoosiers.

https://t.co/r6qElGCk6K"
147,2019-12-13 11:07:03,"RT @IUHoosiers: Enhance the atmosphere. 

Retweet to win one of five sets of tickets to #IUBB-Nebraska this Friday. https://t.co/Cu7OIoUlGw"
148,2019-12-13 10:57:43,"RT @IUHoosiers: Enhance the atmosphere. 

Retweet to win one of five sets of tickets to #IUBB-Nebraska this Friday. https://t.co/Cu7OIoUlGw"
149,2019-12-13 09:13:54,"RT @IUHoosiers: Enhance the atmosphere. 

Retweet to win one of five sets of tickets to #IUBB-Nebraska this Friday. https://t.co/Cu7OIoUlGw"
150,2019-12-13 08:54:07,"RT @IUHoosiers: Enhance the atmosphere. 

Retweet to win one of five sets of tickets to #IUBB-Nebraska this Friday. https://t.co/Cu7OIoUlGw"
151,2019-12-13 08:53:59,"RT @IndianaXCTF: PREVIEW | Tomorrow → We ring in the new season 

📝: https://t.co/ZceFxIhvNU

#GoIU ⚪️🔴 https://t.co/mYlYCakFIY"
152,2019-12-13 08:14:29,"RT @IndianaFootball: Another honor for #IUFB's @Mullen_7era!

📝 https://t.co/pW3ZfH51Y4 https://t.co/rqGbc87z9D"
153,2019-12-13 08:11:25,"RT @IndianaFootball: Another honor for #IUFB's @Mullen_7era!

📝 https://t.co/pW3ZfH51Y4 https://t.co/rqGbc87z9D"
154,2019-12-13 08:02:53,@deantak @XboxP3 @Xbox @SEGAForever @ccqt @Shenmue @metalgear_en @Bungie @mechanicalturk @awscloud @raytracing_jp… https://t.co/a0sG5gb5L7
155,2019-12-13 08:02:30,"#stillreading
Got to the list of games.
Terrifying spelling of events.
Trying not to let @fbi killing 2 teen girls… https://t.co/ENxXUYEVkE"
156,2019-12-13 07:12:34,"RT @IUHoosiers: Enhance the atmosphere. 

Retweet to win one of five sets of tickets to #IUBB-Nebraska this Friday. https://t.co/Cu7OIoUlGw"
